Date,Open,High,Low,Close ,Adj Close ,Volume
5-Mar-26,996.5,999.25,978.81,981.83,981.83,"1,129,639"
4-Mar-26,"1,005.00","1,014.00",997,"1,006.74","1,006.74","1,804,400"
3-Mar-26,"1,002.54","1,015.75","1,000.63","1,007.77","1,007.77","1,947,100"
2-Mar-26,"1,010.91","1,020.82","1,002.49","1,002.77","1,002.77","1,986,900"
27-Feb-26,990.53,"1,014.19",989.58,"1,010.79","1,010.79","3,935,000"
26-Feb-26,996.92,"1,005.52",983.53,986.74,986.74,"1,804,400"
25-Feb-26,997.68,"1,002.50",991.44,994.76,994.76,"1,554,600"
24-Feb-26,986.38,998.88,985.04,998.43,998.43,"1,671,100"
23-Feb-26,981.8,991.31,978.06,986.02,986.02,"1,489,300"
20-Feb-26,983.13,987.37,977.81,985.27,985.27,"1,662,200"
19-Feb-26,992.31,"1,007.86",984.11,987.82,987.82,"1,750,000"
18-Feb-26,"1,010.00","1,016.00",993.5,996.08,996.08,"1,926,800"
17-Feb-26,"1,022.34","1,028.44","1,010.48","1,012.05","1,012.05","1,732,200"
13-Feb-26,"1,000.00","1,022.88",993.76,"1,018.48","1,018.48","2,661,600"
12-Feb-26,978.75,"1,009.21",978.14,998.86,998.86,"2,970,400"
11-Feb-26,973.29,989.57,967.12,978.14,978.14,"1,769,400"
10-Feb-26,996.01,997.45,969,971.23,971.23,"1,781,500"
9-Feb-26,"1,001.32","1,009.62",992.68,997.59,997.59,"1,861,700"
6-Feb-26,988.15,"1,001.37",983.5,"1,001.16","1,001.16","2,358,600"
5-Feb-26,995.5,"1,000.95",987.33,989.29,989.29,"2,988,800"
4-Feb-26,983.31,994.6,975.19,978.35,978.35,"2,631,500"
3-Feb-26,964.35,990.65,964.28,977.92,977.92,"2,960,700"
2-Feb-26,944.23,970.32,931.27,968.36,968.36,"2,451,300"
30-Jan-26,948.83,951.12,930.3,940.25,940.25,"2,396,300"
29-Jan-26,957.99,960.3,948.51,952.89,952.89,"1,825,000"
28-Jan-26,969.51,970.1,955.61,960.78,960.78,"2,474,800"
27-Jan-26,977.68,978,961.71,970.28,970.28,"2,077,900"
26-Jan-26,986.43,993,976.35,977.67,977.67,"2,458,700"
23-Jan-26,971.44,984.85,971.01,983.25,983.25,"1,680,600"
22-Jan-26,977.89,984,971.56,976.17,976.17,"2,074,400"
21-Jan-26,959.6,989.64,959.6,982.86,982.86,"4,073,700"
20-Jan-26,958.38,969.9,954.13,964.26,964.26,"3,209,900"
16-Jan-26,962,964.98,951,963.61,963.61,"3,862,900"
15-Jan-26,954.54,958.28,950,956.75,956.75,"2,185,900"
14-Jan-26,938.33,955.61,938.29,950.98,950.98,"2,894,900"
13-Jan-26,938.02,942.9,929.6,941.93,941.93,"2,222,100"
12-Jan-26,920.4,944.83,917,943.08,943.08,"3,246,400"
9-Jan-26,915.97,929.85,911.33,924.88,924.88,"2,895,400"
8-Jan-26,901.13,931.67,896,915.31,915.31,"5,207,200"
7-Jan-26,892,893.6,879.62,882.58,882.58,"2,680,100"
6-Jan-26,875.95,894.08,871.3,889.1,889.1,"2,742,300"
5-Jan-26,863.95,878.77,860.85,875.74,875.74,"2,805,600"
2-Jan-26,861.14,863.1,852.5,854.5,854.5,"2,373,400"
31-Dec-25,864.58,868,861.34,862.34,862.34,"1,490,000"
30-Dec-25,864,867.82,861.43,865.65,865.65,"1,680,800"
29-Dec-25,873.29,874.5,865.69,867.84,867.84,"1,792,500"
26-Dec-25,870.64,877.59,869,873.35,873.35,"1,324,100"
24-Dec-25,858.6,876,858.35,871.86,871.86,"1,822,200"
23-Dec-25,849.1,854.98,846.8,854.79,854.79,"1,903,300"
22-Dec-25,854,855.5,847.31,850,850,"2,373,300"
19-Dec-25,856.57,858.45,849.32,855.62,855.62,"10,097,600"
18-Dec-25,860.3,863.15,852.51,857.59,857.59,"2,467,500"
17-Dec-25,858.5,868.58,858.23,862.65,862.65,"2,363,700"
16-Dec-25,857.44,863.59,844.06,860.39,860.39,"3,843,300"
15-Dec-25,882.11,887.49,851.4,860.56,860.56,"4,771,400"
12-Dec-25,883.3,888.62,867.12,884.47,884.47,"4,808,900"
11-Dec-25,875.86,886,872.55,884.48,884.48,"3,041,600"
10-Dec-25,887.82,889.58,871.09,874.41,874.41,"3,318,300"
9-Dec-25,886.85,889.02,881.51,888.44,888.44,"1,899,500"
