Date,Open,High,Low,Close ,Adj Close ,Volume
5-Mar-26,67.25,71.37,67.28,71.32,71.32,"7,157,430"
4-Mar-26,68.78,68.78,67.18,67.99,67.99,"8,010,400"
3-Mar-26,69.26,69.77,68.13,68.64,68.64,"5,307,300"
2-Mar-26,68.12,69.27,67.71,69.05,69.05,"5,491,900"
27-Feb-26,67.36,68.66,67.17,68.24,68.24,"6,773,500"
26-Feb-26,67.9,67.9,66.44,67.18,67.18,"5,165,100"
25-Feb-26,67.73,68.7,67.14,67.59,67.59,"6,626,200"
24-Feb-26,68.31,69.81,68.3,69.76,69.76,"5,711,000"
23-Feb-26,66.2,68.39,66.04,68.26,68.26,"5,243,600"
20-Feb-26,67.67,67.83,66.14,66.36,66.36,"5,153,100"
19-Feb-26,68.77,69.19,67.27,67.63,67.63,"5,134,000"
18-Feb-26,69.54,69.68,68.25,68.86,68.86,"5,530,400"
17-Feb-26,71.5,72.2,69.58,69.66,69.66,"5,271,400"
13-Feb-26,0.35 Dividend,,,,,
13-Feb-26,69.79,71.25,69.5,71.25,71.25,"6,440,800"
12-Feb-26,68.68,72.24,68.51,70.14,69.79,"8,080,800"
11-Feb-26,68.01,68.94,67.66,68.66,68.32,"5,863,300"
10-Feb-26,69.8,69.92,67.44,68.02,67.68,"8,001,900"
9-Feb-26,71.25,73.18,69.67,70.1,69.75,"16,069,700"
6-Feb-26,66.61,67.65,66.28,67.5,67.16,"4,197,900"
5-Feb-26,67.31,67.66,65.77,66.67,66.34,"6,738,700"
4-Feb-26,64.47,67.46,64.47,66.8,66.47,"10,701,600"
3-Feb-26,62.52,64.63,62.5,64.17,63.85,"6,096,100"
2-Feb-26,63.02,63.64,61.71,63.06,62.75,"5,881,700"
30-Jan-26,62.02,62.94,61.83,62.85,62.54,"6,599,800"
29-Jan-26,62.01,62.98,61.67,61.75,61.44,"4,911,600"
28-Jan-26,61.88,62.37,61.38,61.82,61.51,"5,658,100"
27-Jan-26,63.54,63.82,61.02,62.11,61.8,"7,519,200"
26-Jan-26,64.79,65.18,63.39,63.69,63.37,"6,382,000"
23-Jan-26,62.78,64.3,62.52,64.25,63.93,"5,742,400"
22-Jan-26,64.04,64.22,61.86,62.65,62.34,"6,733,300"
21-Jan-26,63.38,64.24,63.26,63.92,63.6,"6,316,300"
20-Jan-26,63.11,63.45,62.62,63.15,62.83,"7,430,900"
16-Jan-26,62.14,63.63,62.05,63.19,62.87,"7,922,800"
15-Jan-26,62.13,62.75,60.97,62.49,62.18,"7,415,300"
14-Jan-26,61.18,62.8,61.18,62.46,62.15,"6,220,300"
13-Jan-26,60.8,61.53,60.08,61.47,61.16,"5,404,500"
12-Jan-26,59.77,61.48,59.7,61.11,60.81,"7,103,200"
9-Jan-26,59.78,60.08,58.75,59.51,59.21,"7,337,100"
8-Jan-26,59.33,60.65,58.6,59.79,59.49,"7,613,600"
7-Jan-26,61.49,61.61,58.91,59.28,58.98,"10,161,200"
6-Jan-26,61.79,62.63,61.51,61.74,61.43,"7,495,300"
5-Jan-26,62.41,62.6,60.7,61.79,61.48,"8,173,300"
2-Jan-26,62.36,63,62.11,62.96,62.65,"5,116,200"
31-Dec-25,62.6,62.79,62.46,62.48,62.17,"3,752,700"
30-Dec-25,62.61,62.94,62.55,62.68,62.37,"3,190,600"
29-Dec-25,63.12,63.46,62.59,62.71,62.4,"5,463,400"
26-Dec-25,62.83,63.63,62.83,63.25,62.93,"3,596,400"
24-Dec-25,62.54,63.15,62.45,62.93,62.62,"2,070,700"
23-Dec-25,62.66,62.75,62.08,62.3,61.99,"4,037,500"
22-Dec-25,62,62.44,61.71,62.29,61.98,"4,304,500"
19-Dec-25,62.69,62.88,62.27,62.41,62.1,"10,268,400"
18-Dec-25,63.38,63.52,62.7,62.79,62.48,"8,355,500"
17-Dec-25,62.25,63.9,62.1,63.81,63.49,"5,539,600"
16-Dec-25,62.89,63.12,61.97,62.1,61.79,"5,906,500"
15-Dec-25,63.09,63.32,62.53,62.66,62.35,"6,234,000"
12-Dec-25,62.35,63.21,62.06,63.19,62.87,"5,386,400"
11-Dec-25,61.74,62.59,61.59,62.21,61.9,"7,352,600"
10-Dec-25,62.42,62.42,61.2,61.24,60.93,"8,130,100"
9-Dec-25,63.17,63.55,62.32,62.9,62.59,"5,669,900"
8-Dec-25,62.49,64.14,62.15,63.38,63.06,"7,585,500"
5-Dec-25,63,63.94,62.67,62.71,62.4,"8,883,100"
4-Dec-25,63.55,64.25,60.96,63.14,62.82,"22,791,000"
3-Dec-25,67.04,67.75,66.13,66.2,65.87,"7,265,900"
2-Dec-25,67.58,67.85,66.4,67.03,66.7,"6,704,400"
1-Dec-25,67.28,67.99,67.12,67.55,67.21,"7,110,400"
28-Nov-25,66.92,67.55,66.7,67.28,66.94,"2,270,500"
26-Nov-25,66.22,67.47,66.15,67.03,66.7,"5,379,700"
25-Nov-25,64.8,66.23,64.77,66.15,65.82,"5,383,500"
24-Nov-25,66.06,66.06,64.26,64.29,63.97,"9,035,400"
21-Nov-25,65.84,66.7,65.61,66.06,65.73,"6,691,600"
20-Nov-25,67.09,67.41,64.86,65.9,65.57,"7,503,000"
19-Nov-25,67.37,68.36,67.2,67.41,67.07,"6,478,400"
18-Nov-25,66.52,67.78,66.1,67.38,67.04,"7,926,300"
17-Nov-25,66.72,66.8,65.76,66.1,65.77,"4,957,100"
14-Nov-25,0.35 Dividend,,,,,
14-Nov-25,65.94,66.92,65.5,66.71,66.38,"5,328,000"
13-Nov-25,65.58,66.13,65.39,65.97,65.29,"5,226,800"
12-Nov-25,64.9,65.83,64.88,65.4,64.73,"5,148,300"
11-Nov-25,64.56,65.32,64.09,65.02,64.35,"4,852,500"
10-Nov-25,64.55,64.84,63.84,64.44,63.78,"4,601,600"
7-Nov-25,63.75,65.08,63.47,64.91,64.24,"6,900,600"
6-Nov-25,63.38,64.14,62.59,63.43,62.78,"5,389,500"
5-Nov-25,63.77,64.09,62.97,63.15,62.5,"6,734,500"
4-Nov-25,64,64.6,63.32,63.76,63.11,"6,447,400"
3-Nov-25,63.4,63.92,62.81,63.44,62.79,"8,112,500"
31-Oct-25,64.9,64.91,62.94,63.63,62.98,"11,947,800"
30-Oct-25,65.93,66.19,65.2,65.43,64.76,"6,496,200"
29-Oct-25,67.4,67.43,65.79,66.04,65.36,"6,339,800"
28-Oct-25,67.74,68.23,67.38,67.69,66.99,"4,369,200"
27-Oct-25,66.82,68.11,66.3,68.03,67.33,"4,610,600"
24-Oct-25,68.87,68.9,66.91,67.11,66.42,"6,072,800"
23-Oct-25,68.68,68.83,68.19,68.66,67.95,"5,058,500"
22-Oct-25,67.79,68.86,67.05,68.6,67.9,"6,625,700"
21-Oct-25,68.75,68.75,67.46,67.6,66.91,"5,955,300"
20-Oct-25,69,69.4,68.24,69.15,68.44,"4,219,400"
17-Oct-25,69.37,69.72,68.84,68.99,68.28,"5,494,900"
16-Oct-25,68.96,69.81,68.61,68.88,68.17,"4,651,700"
15-Oct-25,68.83,69.37,68.72,69.1,68.39,"6,198,500"
14-Oct-25,67.94,69.51,67.2,69.13,68.42,"5,987,500"
13-Oct-25,66.89,67.24,65.75,67.13,66.44,"6,673,100"
10-Oct-25,67.71,68.61,66.62,67.78,67.08,"6,000,200"
9-Oct-25,68.46,68.78,67.13,67.56,66.87,"5,810,100"
8-Oct-25,67.2,68.25,67,68.12,67.42,"7,287,400"
7-Oct-25,64.93,66.9,64.93,66.88,66.19,"6,765,600"
6-Oct-25,65.99,66.32,64.52,64.8,64.13,"8,489,600"
3-Oct-25,66.27,66.63,66.01,66.3,65.62,"4,201,500"
2-Oct-25,66.2,66.96,65.87,66.36,65.68,"4,430,200"
