Date,Open,High,Low,Closeÿ,Adj Closeÿ,Volume
5-Mar-26,119.77,120.88,118.22,118.96,118.96,"2,274,496"
4-Mar-26,123.96,126,119.89,120.08,120.08,"9,486,700"
3-Mar-26,116.01,122.43,115,120.8,120.8,"15,692,200"
2-Mar-26,111.84,114.38,111.25,113.17,113.17,"6,301,900"
27-Feb-26,113,113.88,111.11,113.79,113.79,"6,417,000"
26-Feb-26,117.48,118.7,113.96,114.79,114.79,"5,930,300"
25-Feb-26,115.75,116.48,114.61,116.44,116.44,"4,522,100"
24-Feb-26,113.4,115.58,113.4,115.52,115.52,"4,977,600"
23-Feb-26,116.08,116.72,112.81,113.34,113.34,"7,924,800"
20-Feb-26,115.27,118.98,114.45,116.69,116.69,"6,285,900"
19-Feb-26,115.2,116.26,114.62,115.66,115.66,"3,631,500"
18-Feb-26,115.75,116.83,114.75,115.66,115.66,"5,608,100"
17-Feb-26,116.9,118.38,114.19,116.54,116.54,"6,258,900"
13-Feb-26,113.41,116.15,112.62,115.76,115.76,"6,597,100"
12-Feb-26,114.98,116.37,111.86,112.69,112.69,"5,588,400"
11-Feb-26,112.94,114.78,112.31,114.61,114.61,"6,612,000"
10-Feb-26,115.5,117.17,113.15,113.23,112.09,"4,955,200"
9-Feb-26,115.27,116.2,113.73,115.52,114.36,"4,507,500"
6-Feb-26,111.57,115.82,111.57,115.55,114.39,"7,804,400"
5-Feb-26,114.13,114.77,110.34,110.85,109.73,"6,081,500"
4-Feb-26,112.55,114.88,112.27,114.13,112.98,"9,816,200"
3-Feb-26,109.89,112.96,109.59,111.3,110.18,"8,373,400"
2-Feb-26,104.93,109.91,103.68,109.53,108.43,"10,561,600"
30-Jan-26,102.84,105.51,102.36,105.47,104.41,"6,181,800"
29-Jan-26,102.41,103.27,101.32,102.84,101.8,"6,015,200"
28-Jan-26,104,104.18,100.88,101.74,100.72,"4,644,400"
27-Jan-26,104.35,104.82,103.19,104.1,103.05,"4,578,900"
26-Jan-26,108.03,108.49,103.61,103.96,102.91,"6,709,800"
23-Jan-26,106.36,108.33,106.1,108.1,107.01,"4,594,100"
22-Jan-26,106.58,106.81,104.8,106.5,105.43,"4,904,300"
21-Jan-26,108.61,110.25,104.89,106.04,104.97,"6,547,300"
20-Jan-26,110.02,110.66,107.43,109.34,108.24,"9,556,600"
16-Jan-26,110.84,111.75,110.18,111.28,110.16,"5,253,200"
15-Jan-26,110.07,111.86,108.4,111.13,110.01,"5,827,200"
14-Jan-26,108.57,110.64,108.18,109.82,108.71,"5,886,200"
13-Jan-26,108.5,109.95,107.96,108.63,107.54,"7,742,300"
12-Jan-26,105.58,106.85,103.16,106.14,105.07,"5,893,400"
9-Jan-26,105.63,107.3,104.14,105.52,104.46,"6,490,400"
8-Jan-26,103.13,108.64,102.68,106.33,105.26,"8,568,600"
7-Jan-26,104.3,104.66,102.49,103.67,102.63,"4,686,200"
6-Jan-26,102.1,104.85,101.59,104.3,103.25,"7,699,800"
5-Jan-26,100.4,103.26,99.9,102.1,101.07,"7,421,200"
2-Jan-26,97.91,101,97.07,100.51,99.5,"7,064,400"
31-Dec-25,97.41,98.44,97.2,97.75,96.77,"4,290,100"
30-Dec-25,97.88,97.99,97.06,97.43,96.45,"3,686,900"
29-Dec-25,99.46,100.24,97.71,98.1,97.11,"8,837,000"
26-Dec-25,96.58,103.03,96.54,99.55,98.55,"10,644,100"
24-Dec-25,94.61,96.6,94.18,96.53,95.56,"3,299,500"
23-Dec-25,95.25,95.38,93.77,94.3,93.35,"7,975,900"
22-Dec-25,97.95,98.34,94.78,95.2,94.24,"11,985,200"
19-Dec-25,98.9,99.45,96.55,98.01,97.02,"12,620,400"
18-Dec-25,98.6,101.99,98.56,99.05,98.05,"9,594,200"
17-Dec-25,97,98.62,95.15,98.6,97.61,"6,830,400"
16-Dec-25,97.89,98.52,97.05,97.67,96.69,"5,142,500"
15-Dec-25,97.56,97.93,96.31,97.56,96.58,"5,730,100"
12-Dec-25,97.25,98.2,96.25,97.09,96.11,"5,260,200"
