Date,Open,High,Low,Close ,Adj Close ,Volume
5-Mar-26,657.9,668.71,644.5,645.91,645.91,"219,878"
4-Mar-26,673.86,677.3,659.79,661.34,661.34,"465,500"
3-Mar-26,660.47,671.47,655.65,668.95,668.95,"431,000"
2-Mar-26,680.83,682.51,666.46,677,677,"394,200"
27-Feb-26,686.88,702.53,682.47,684.79,684.79,"663,000"
26-Feb-26,688.23,699.2,684.59,695.63,695.63,"415,800"
25-Feb-26,687.2,692,677.31,684.27,684.27,"428,400"
24-Feb-26,676.17,690.37,674.48,686.44,686.44,"428,500"
23-Feb-26,676.65,682.49,663.52,669.87,669.87,"431,000"
20-Feb-26,684.49,694.1,672.67,682.89,682.89,"422,000"
19-Feb-26,682.01,695.78,680.94,692.79,692.79,"409,900"
18-Feb-26,700.1,714.97,685.5,689.42,689.42,"621,000"
17-Feb-26,690.76,707.25,686.86,706.82,706.82,"569,800"
13-Feb-26,666.96,690,660,683.4,683.4,"380,600"
12-Feb-26,690,693.75,664.95,667.18,667.18,"523,700"
11-Feb-26,686.82,695,682.03,683.05,683.05,"360,800"
10-Feb-26,696.25,697.39,678.16,679.28,679.28,"482,000"
9-Feb-26,690,700.81,689,696.25,696.25,"560,100"
6-Feb-26,681.27,692.6,677.48,690.37,690.37,"467,900"
5-Feb-26,678.64,689,671.68,677.91,677.91,"552,800"
4-Feb-26,673.39,690.08,668.15,678.64,678.64,"496,000"
3-Feb-26,665.57,677.7,662.52,673.39,673.39,"418,200"
2-Feb-26,647.04,666.05,643.43,665.57,665.57,"719,100"
30-Jan-26,628.11,648.44,624.95,647.36,647.36,"732,400"
29-Jan-26,636.65,640.01,629.01,631.1,631.1,"618,500"
28-Jan-26,649.91,655.02,633.62,638.21,638.21,"637,400"
27-Jan-26,663.04,666.55,650.75,651.3,651.3,"450,600"
26-Jan-26,684.03,684.54,660.42,661.34,661.34,"731,600"
23-Jan-26,684.39,694.34,681.06,686.12,686.12,"527,300"
22-Jan-26,682.81,693.77,677,681.64,681.64,"498,700"
21-Jan-26,684.39,695.34,679.99,683.45,683.45,"653,400"
20-Jan-26,662.79,678.1,656.3,675.62,675.62,"527,300"
16-Jan-26,666.12,667.89,658.1,663.48,663.48,"391,900"
15-Jan-26,665.16,669.69,661.62,665.12,665.12,"402,700"
14-Jan-26,660.09,666.68,657,663.85,663.85,"540,200"
13-Jan-26,663.27,671.22,661.66,664.85,664.85,"396,500"
12-Jan-26,663.01,665.89,653.33,661.49,661.49,"430,600"
9-Jan-26,657.3,675.65,657,666.18,666.18,"659,800"
8-Jan-26,651.79,660.87,650.44,657.46,657.46,"421,600"
7-Jan-26,649.87,658.2,645.77,655.36,655.36,"666,400"
6-Jan-26,631.15,654.89,630,650.06,650.06,"707,500"
5-Jan-26,620.04,636.96,619.59,631.15,631.15,"892,200"
2-Jan-26,606.12,622.27,606.12,620.04,620.04,"539,600"
31-Dec-25,604,608.82,602.96,605.01,605.01,"282,600"
30-Dec-25,603.63,611.19,601,606.89,606.89,"341,500"
29-Dec-25,604.33,609.43,603.36,604.64,604.64,"482,700"
26-Dec-25,608.52,613.17,604.03,607.52,607.52,"358,000"
24-Dec-25,606.36,610.91,604.56,608.52,608.52,"211,400"
23-Dec-25,615.49,616.34,601.89,604.09,604.09,"895,100"
22-Dec-25,598.28,613.16,594.49,612.95,612.95,"579,600"
19-Dec-25,599.98,605.66,594.27,597.88,597.88,"1,313,500"
18-Dec-25,594.12,600.32,586.54,594.01,594.01,"779,100"
17-Dec-25,589.27,591.29,582.95,585.98,585.98,"503,800"
16-Dec-25,594.09,596.29,585.1,589.27,589.27,"624,700"
15-Dec-25,603,603,589.42,591.2,591.2,"907,700"
12-Dec-25,597.69,602.07,585.32,601.59,601.59,"708,400"
11-Dec-25,602.1,606.99,586.26,593.41,593.41,"699,800"
10-Dec-25,603.05,603.5,594.2,600.65,600.65,"639,800"
9-Dec-25,591.76,606.4,590.85,602.97,602.97,"758,100"
8-Dec-25,611.84,611.84,575.48,589.3,589.3,"1,747,800"
5-Dec-25,578.95,611.9,575,601.5,601.5,"3,395,600"
