Date,Open,High,Low,Close ,Adj Close ,Volume
5-Mar-26,125.33,125.68,121.65,122.63,122.63,"14,968,755"
4-Mar-26,127.11,128.17,126.24,127.81,127.81,"16,420,500"
3-Mar-26,126.52,128.37,125.67,127.91,127.91,"16,480,400"
2-Mar-26,127.46,128.75,127.05,127.1,127.1,"17,091,500"
27-Feb-26,125.52,128.6,125.15,127.95,127.95,"29,205,500"
26-Feb-26,125.98,127.33,123.94,124.42,124.42,"18,638,300"
25-Feb-26,126.61,127.4,125.42,125.75,125.75,"17,345,700"
24-Feb-26,125.9,128.04,124.91,126.75,126.75,"20,161,200"
23-Feb-26,123.52,126.8,122.96,125.81,125.81,"25,662,800"
20-Feb-26,123,123.48,121.05,122.99,122.99,"35,151,000"
19-Feb-26,128.5,130.1,124.4,124.87,124.87,"42,993,300"
18-Feb-26,128.13,128.87,125.77,126.62,126.62,"36,485,000"
17-Feb-26,133.11,134.69,128.16,128.85,128.85,"37,995,900"
13-Feb-26,132.7,134.65,131.75,133.89,133.89,"24,131,200"
12-Feb-26,129.38,134.49,129.31,133.64,133.64,"33,382,700"
11-Feb-26,126.7,129.74,126.63,128.77,128.77,"19,232,100"
10-Feb-26,128.94,129.34,126.39,126.7,126.7,"24,662,000"
9-Feb-26,131.42,131.79,128.09,129.02,129.02,"27,197,300"
6-Feb-26,127.29,131.7,127.05,131.18,131.18,"26,593,400"
5-Feb-26,128.58,129.6,126.56,126.94,126.94,"30,517,800"
4-Feb-26,128.13,129.41,127.09,128,128,"27,531,800"
3-Feb-26,123.65,128.17,123.65,127.71,127.71,"32,018,700"
2-Feb-26,119.5,124.2,119.05,124.06,124.06,"31,210,100"
30-Jan-26,116.91,119.41,116.6,119.14,119.14,"22,215,400"
29-Jan-26,116.45,117.66,116.07,117.41,117.41,"16,381,100"
28-Jan-26,116.64,117.46,115.87,116.57,116.57,"16,342,000"
27-Jan-26,117.5,117.63,115.48,116.94,116.94,"22,968,600"
26-Jan-26,117.81,118.85,117.39,117.64,117.64,"19,552,200"
23-Jan-26,118.17,118.61,117.14,117.73,117.73,"20,806,900"
22-Jan-26,119.29,119.52,117.65,117.83,117.83,"24,547,300"
21-Jan-26,118.08,120.49,117.55,119.36,119.36,"34,811,700"
20-Jan-26,120.89,121.62,117.61,118.71,118.71,"45,334,000"
16-Jan-26,118.67,120.6,116.9,119.7,119.7,"415,144,600"
15-Jan-26,119.98,120.87,118.73,119.2,119.2,"34,559,400"
14-Jan-26,120.19,121.24,119.03,120.04,120.04,"32,764,000"
13-Jan-26,117.89,120.51,117.73,120.36,120.36,"31,222,100"
12-Jan-26,117.5,118.84,116.41,117.97,117.97,"49,182,100"
9-Jan-26,112.26,115.46,112.26,114.53,114.53,"21,902,900"
8-Jan-26,111.29,113.47,109.81,113.07,113.07,"24,058,300"
7-Jan-26,114.19,114.73,112.1,112.72,112.72,"23,306,000"
6-Jan-26,112.4,114.79,111.99,114.34,114.34,"20,120,800"
5-Jan-26,112.82,113.73,112.15,112.71,112.71,"19,557,600"
2-Jan-26,111.43,112.79,111.12,112.76,112.76,"14,306,600"
31-Dec-25,111.73,112.25,111.32,111.41,111.41,"11,487,400"
30-Dec-25,111.89,112.69,111.84,111.92,111.92,"11,730,600"
29-Dec-25,111.59,112.78,111.57,112.53,112.53,"12,979,600"
26-Dec-25,111.72,111.97,111.36,111.74,111.74,"9,003,800"
24-Dec-25,110.9,111.71,110.55,111.61,111.61,"9,009,600"
23-Dec-25,111.99,112.35,110.7,110.9,110.9,"20,319,900"
22-Dec-25,114.01,114.32,112.22,112.6,112.6,"21,473,900"
19-Dec-25,115.14,115.28,113.53,114.36,114.36,"50,043,800"
18-Dec-25,115.01,116.48,114.61,114.83,114.83,"21,476,700"
17-Dec-25,115.2,116.39,115.07,115.66,115.66,"16,177,800"
16-Dec-25,116.58,116.88,114.95,115.42,115.42,"19,642,300"
15-Dec-25,116.93,117.45,115.64,116.79,116.79,"18,713,700"
12-Dec-25,115.26,116.95,115.02,116.7,116.7,"19,092,400"
11-Dec-25,113.14,115.87,112.85,115.52,115.28,"21,586,600"
10-Dec-25,115.35,116.23,112.99,113.18,112.95,"22,859,600"
9-Dec-25,113.95,115.72,113.02,115.06,114.83,"24,326,700"
8-Dec-25,114.57,114.99,112.3,113.56,113.33,"22,700,700"
5-Dec-25,114.73,116.27,114.68,115.11,114.88,"23,956,400"
4-Dec-25,113.62,114.89,113.16,114.84,114.61,"25,905,100"
3-Dec-25,112.5,114.89,112.22,114.41,114.18,"24,478,300"
2-Dec-25,111.47,112.65,110.79,112.41,112.18,"18,711,800"
1-Dec-25,110.51,111.76,110.36,111.53,111.3,"17,236,800"
28-Nov-25,109.3,110.7,109,110.51,110.29,"9,846,500"
26-Nov-25,107.2,109.59,107.17,109.1,108.88,"17,783,300"
25-Nov-25,104.61,107.42,104.23,107,106.78,"20,212,900"
24-Nov-25,105.36,106.27,103.76,104.06,103.85,"42,519,200"
21-Nov-25,107.98,108.15,104.72,105.32,105.11,"41,420,800"
20-Nov-25,103.94,107.91,102.68,107.11,106.89,"50,375,900"
19-Nov-25,101.58,101.71,99.68,100.61,100.41,"22,157,000"
18-Nov-25,102.98,103.34,101.38,101.39,101.18,"17,604,500"
17-Nov-25,102.58,103.32,102.1,102.95,102.74,"15,289,400"
14-Nov-25,100.2,102.49,98.88,102.48,102.27,"23,424,200"
13-Nov-25,103.59,103.93,102.02,102.54,102.33,"18,088,500"
12-Nov-25,103.35,103.6,102.66,103.44,103.23,"12,084,400"
11-Nov-25,102.5,103.74,102.32,103.44,103.23,"13,182,100"
10-Nov-25,102.15,102.67,101.6,102.42,102.21,"14,507,600"
7-Nov-25,102.13,102.97,101.73,102.59,102.38,"17,248,700"
6-Nov-25,101.34,101.93,100.03,101.68,101.47,"14,866,000"
5-Nov-25,101.74,102.68,100.85,101.47,101.26,"13,356,800"
4-Nov-25,102.13,102.62,101.46,102.27,102.06,"12,636,400"
3-Nov-25,100.82,101.8,100.4,101.59,101.38,"14,811,700"
31-Oct-25,101.7,102.1,100.18,101.18,100.97,"20,237,000"
30-Oct-25,102.2,103.37,101.96,102.23,102.02,"14,065,100"
29-Oct-25,102.91,103.67,102.11,102.46,102.25,"11,986,400"
28-Oct-25,104.06,104.14,103.05,103.17,102.96,"13,323,000"
27-Oct-25,106.34,106.36,104.15,104.47,104.26,"16,375,900"
24-Oct-25,107.07,107.17,105.51,106.17,105.95,"10,318,000"
23-Oct-25,107.35,107.57,105.78,106.86,106.64,"11,408,200"
22-Oct-25,106.55,107.77,105.66,107.14,106.92,"12,296,500"
21-Oct-25,107.33,107.48,106.18,106.22,106,"10,899,700"
20-Oct-25,107.85,108.25,106.61,107.05,106.83,"10,581,200"
17-Oct-25,107.17,108.2,106.22,107.73,107.51,"13,735,600"
16-Oct-25,109.2,109.58,105.66,106.47,106.25,"16,366,200"
15-Oct-25,107.32,109.56,107.3,109.03,108.81,"21,416,300"
14-Oct-25,104.05,107.92,102.89,107.21,106.99,"30,859,500"
13-Oct-25,101.37,102.45,101.07,102.12,101.91,"10,871,200"
10-Oct-25,102.05,103.63,101.52,101.84,101.63,"18,519,400"
9-Oct-25,103.13,103.45,100.37,101.77,101.56,"19,508,000"
8-Oct-25,103.02,103.26,102.15,102.9,102.69,"13,584,100"
7-Oct-25,102.38,103.25,100.95,103.24,103.03,"15,538,900"
6-Oct-25,101.88,103.07,101.58,102.7,102.49,"13,303,600"
3-Oct-25,101.46,102.82,101.2,102.07,101.86,"11,867,500"
2-Oct-25,101.45,102.14,99.87,101.7,101.49,"15,605,400"
1-Oct-25,102.56,102.86,100.55,101.96,101.75,"16,142,800"
30-Sep-25,103,103.94,102.72,103.06,102.85,"13,873,400"
29-Sep-25,103.05,103.31,102.08,103.08,102.87,"15,477,200"
26-Sep-25,102.88,103.49,102.47,103.16,102.95,"11,859,300"
