Year,Quarter,DDR Type,Price per GB USD (Low),Price per GB USD (High),Price per TB USD (Low),Price per TB USD (High),Market Type,Source,Notes,Price_per_GB_Mid,Date
2021,Q4,DDR3,12,12,12000,12000,Retail (Legacy),Pangoly/Tom's Hardware,HyperX FURY 8GB DDR3 1866MHz peaked at $96.41 on Oct 23 2021,12,2021-Q4
2021,Q4,DDR4,6.25,9.38,6250,9380,Retail,Tom's Hardware/User Reports,32GB kits ranged $200-300; strong post-COVID demand,7.815,2021-Q4
2021,Q4,DDR5,10,15,10000,15000,Retail (Launch),Tom's Hardware,DDR5 launched Nov 4 2021 with Intel 12th gen; limited availability,12.5,2021-Q4
2022,Q2,DDR4,5,7.5,5000,7500,Retail (Declining),TrendForce/PCPartPicker,DRAM contract prices began QoQ decline of 3-8% from Q4 2021,6.25,2022-Q2
2022,Q4,DDR4,3.75,5.63,3750,5630,Retail (Crash Beginning),GamersNexus,Global DRAM revenue fell 30% QoQ in Q3 2022; production cuts begin,4.6899999999999995,2022-Q4
2022,Q4,DDR5,4,6,4096,6144,Retail,Market Trends,Premium over DDR4 narrowing as production ramped,5,2022-Q4
2022,Q4,DDR3,4,6,4000,6000,Retail (Legacy),Various,Continued phase-out; spot market volatile,5,2022-Q4
2023,Q2,DDR3,1.95,1.95,1950,1950,Secondary Market,Pangoly,HyperX FURY 8GB DDR3 1866MHz hit lowest price of $15.60 on May 10 2023,1.95,2023-Q2
2023,Q2,DDR4,1.88,2.81,1880,2810,Retail (Bottom),Tom's Hardware/PCPartPicker,Historic low; 31 weeks of supplier stock on hand in early 2023; 32GB kits $60-90,2.3449999999999998,2023-Q2
2023,Q2,DDR5,3.13,4.38,3130,4380,Retail,Multiple Sources,32GB kits $100-140; still premium over DDR4,3.755,2023-Q2
2024,Q1,DDR4,1.88,2.81,1880,2810,Contract,TrendForce,Contract prices up 13-18% QoQ; PC DRAM DDR4+DDR5 up 10-15%,2.3449999999999998,2024-Q1
2024,Q1,DDR5,2.5,3.13,2500,3130,Contract,TrendForce,DDR5 poised to lead pricing rally; unfilled orders noted,2.815,2024-Q1
2024,Q3,DDR4,1.88,2.81,1880,2810,Retail (Stable),PCPartPicker,CXMT flooded market with cheap DDR4 briefly causing oversupply; DDR4 prices fell from May 2024,2.3449999999999998,2024-Q3
2024,Q3,DDR5,2.5,3.13,2500,3130,Retail (Best Value),Amazon/Newegg,32GB Crucial Pro DDR5-6000 stable at $80-100 on Amazon through 2024,2.815,2024-Q3
2024,Q4,DDR4,1.88,2.81,1880,2810,Retail,PCPartPicker,Chinese govt directed CXMT to convert DDR4 production to DDR5 in Q4 2024,2.3449999999999998,2024-Q4
2024,Q4,DDR5,2.5,3.13,2500,3130,Retail,Multiple Retailers,Price transition from decrease to increase began mid-March 2025,2.815,2024-Q4
2025,Q1,DDR4,1.88,5,1880,5000,Retail (Surge Begins),PCServerAndParts,Majors shifted capacity to DDR5/HBM; undersupply kicked in; near-tripling in 2 months,3.44,2025-Q1
2025,Q1,DDR5,2.5,3.13,2500,3130,Retail,Tom's Hardware,G.SKILL Flare X5 32GB kit ~$87 early 2025,2.815,2025-Q1
2025,Q2,DDR4,4,7,4000,7000,Spot Market,DRAMeXchange/TrendForce,DDR4 reached price parity with DDR5 by May 2025; fixed transaction price for DDR4 8Gb hit $1.65 (+22.22% in April),5.5,2025-Q2
2025,Q2,DDR5,3.44,4.38,3440,4380,Retail,Multiple Retailers,DDR5 climbed steadily; 32GB DDR5-6000 kits $110-140,3.91,2025-Q2
2025,Q3,DDR4,8,12,8000,12000,Spot (+158%),TrendForce,DDR4 16Gb chip hit $9.17 in Aug (+7% MoM); Q3 contract prices +40-45%; spot doubled in one week at one point,10,2025-Q3
2025,Q3,DDR5,5,8,5000,8000,Spot (+307%),TrendForce,16Gb DDR5 chip averaged $6.84 on Sep 20; spiked to $24.83 by Nov 19,6.5,2025-Q3
2025,Q4,DDR3,6,10,6000,10000,Secondary (+219%),Neowin/3DCenter,+219% vs July 2025 baseline (~3.2x); minimal new production; used market dominant,8,2025-Q4
2025,Q4,DDR4,9.38,14.69,9380,14690,Retail,Tom's Hardware/Amazon,32GB kits $150-180 (were $60-90 in Oct 2025); DDR4-3200 16GB: $50 May → $120 Dec (+140%); DDR4-3600 64GB: $180 May → $470 Dec (+161%),12.035,2025-Q4
2025,Q4,DDR5,10.94,23.44,10940,23440,Retail,Amazon/Newegg/ResellCalendar,32GB kits $350+ (were $100-200 in Oct); G.SKILL Flare X5 32GB hit $399; DDR5-6000 32GB: $120 May → $410 Dec (+242%); DDR5-5600 64GB: $180 May → $710 Dec (+294%),17.19,2025-Q4
2025,Q4,DDR5,9.75,9.75,9750,9750,Contract,Samsung,Samsung raised DDR5 contract price 100%+ to $19.50/chip (16Gb=2GB; ~$9.75/GB),9.75,2025-Q4
